id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
232,457,1.03,1.03,0.26,1274.97,1100.4,476.97,51.79,54.79,19.61
235,587,0.7,0.65,0.24,2041.24,1781.75,1093.75,64.62,71.72,16.83
236,621,1.87,1.79,0.68,1203.5,568.5,1634.87,40.44,41.33,17.9
237,623,0.85,0.76,0.32,2075.97,1988.75,967.48,62.7,65.9,9.7
238,553,0.9,0.83,0.33,6055.44,1388.5,23803.81,61.95,63.4,18.75
239,572,0.81,0.82,0.25,1699.9,1529.5,889.44,67.49,67.39,8.65
240,578,0.77,0.76,0.24,1797.78,1650.0,868.88,61.09,66.5,19.33
241,594,1.04,0.93,0.43,1566.72,1073.75,1084.87,62.2,66.72,15.48
242,599,0.83,0.79,0.48,1457.0,972.16,1295.65,66.69,72.65,15.22
243,609,0.79,0.69,0.35,1592.64,1250.29,830.68,59.71,65.61,14.36
244,612,0.93,0.83,0.33,1304.71,1062.0,637.06,59.39,65.75,15.78
245,615,1.04,0.89,0.35,1430.7,1113.5,1255.24,57.35,59.13,14.56
246,619,1.11,1.07,0.34,1117.26,1063.5,515.52,53.36,55.42,14.26
247,628,0.76,0.76,0.22,2079.98,1568.66,1376.77,57.5,64.23,19.72
248,629,0.95,0.82,0.38,1766.03,1666.0,803.62,60.06,65.72,13.5
249,630,1.3,1.23,0.48,964.79,728.67,598.31,52.85,57.18,14.49
250,634,0.95,0.81,0.36,1383.98,1473.25,472.24,65.31,67.4,11.41
251,515,0.82,0.79,0.35,1883.54,1859.67,847.04,63.51,65.93,15.93
252,532,0.94,0.8,0.36,1407.5,1229.62,732.31,62.42,65.0,13.79
253,535,0.85,0.89,0.37,1851.57,1473.0,1069.21,65.45,65.47,14.58
254,562,0.78,0.72,0.31,1704.49,1447.5,829.86,66.09,67.13,9.55
256,476,1.18,0.92,0.89,2978.47,1494.75,6095.62,57.06,63.96,20.51
257,598,1.72,1.89,0.64,718.36,521.18,449.82,50.44,42.53,29.98
258,524,0.86,0.83,0.21,1915.4,1245.0,1894.64,53.45,58.55,21.54
259,539,1.12,1.2,0.28,1562.3,997.33,1418.34,59.09,59.93,15.05
260,545,0.94,0.95,0.38,1878.41,1344.34,1637.0,61.0,62.33,18.19
261,558,1.1,1.1,0.6,1944.2,1340.5,1685.78,63.3,68.5,17.51
264,489,0.65,0.65,0.1,3376.19,2575.25,2005.61,71.34,70.92,2.64
266,470,0.96,0.9,0.44,1456.25,1300.0,714.1,56.35,57.31,16.6
267,498,0.73,0.73,0.0,2189.0,2189.0,0.0,63.41,63.41,0.0
268,560,0.86,0.75,0.27,1786.92,1695.66,1000.31,56.56,67.41,21.93
270,636,1.0,0.85,0.53,2238.0,1318.25,3371.51,63.9,63.19,17.3
272,299,0.76,0.67,0.44,6601.61,1930.5,7642.52,71.09,70.71,13.11
278,281,0.89,0.81,0.25,1479.16,1355.5,636.06,65.67,69.88,10.1
279,282,0.93,0.81,0.54,1965.35,1557.0,1285.05,66.43,68.19,16.23
280,320,0.88,0.77,0.45,3051.29,2309.34,2432.11,64.64,66.75,11.82
281,289,0.93,0.88,0.38,1836.36,1627.33,1112.74,64.63,67.93,14.0
282,408,0.56,0.49,0.14,7576.44,3502.33,6042.64,67.98,69.39,6.72
283,414,0.83,0.84,0.25,1969.6,1590.75,1100.93,66.81,66.24,7.67
284,420,0.83,0.81,0.16,1647.1,1625.0,225.85,63.26,66.22,6.33
285,428,0.94,1.05,0.18,1475.08,1083.33,656.15,64.64,60.85,8.12
286,436,1.02,1.17,0.26,1325.17,1032.75,540.92,67.51,67.85,8.54
287,440,0.95,0.83,0.37,1940.02,1269.0,2467.14,64.53,71.72,13.98
288,453,0.97,1.07,0.52,2600.31,1540.67,3156.87,65.42,64.93,14.68
289,466,0.89,0.78,0.55,1928.92,1923.33,1109.32,61.37,70.42,24.57
290,493,1.36,1.44,0.46,3174.81,1018.8,6120.84,51.5,48.91,16.62
293,494,1.61,1.23,1.12,3321.38,2249.75,3035.02,50.4,54.26,25.05
294,501,0.8,0.7,0.28,2283.46,2038.33,1242.07,69.45,70.23,8.45
295,506,0.87,0.77,0.29,2251.9,2133.4,1695.55,60.66,65.13,16.08
296,523,1.04,1.06,0.24,1340.28,1296.25,460.31,57.26,57.36,12.46
